Adm_No,Name,Class,Subject,Marks
1,Aarav,I,Maths,78.0
1,Aarav,I,Science,
1,Aarav,I,English,75.0
2,Diya,II,Maths,91.0
2,Diya,II,Science,88.0
2,Diya,II,English,85.0
3,Kabir,II,Maths,
3,Kabir,II,Science,55.0
3,Kabir,II,English,48.0
4,Ananya,II,Maths,66.0
4,Ananya,II,Science,70.0
4,Ananya,II,English,62.0
5,Vihaan,III,Maths,45.0
5,Vihaan,III,Science,39.0
5,Vihaan,III,English,
6,Meera,I,Maths,95.0
6,Meera,I,Science,93.0
6,Meera,I,English,90.0
7,Reyansh,III,Maths,60.0
7,Reyansh,III,Science,58.0
7,Reyansh,III,English,65.0
8,Ishita,III,Maths,35.0
8,Ishita,III,Science,
8,Ishita,III,English,40.0
9,Arjun,II,Maths,80.0
9,Arjun,II,Science,76.0
9,Arjun,II,English,72.0
10,Sneha,I,Maths,55.0
10,Sneha,I,Science,60.0
10,Sneha,I,English,58.0
11,Kiaan,I,Maths,88.0
11,Kiaan,I,Science,84.0
11,Kiaan,I,English,79.0
12,Riya,III,Maths,72.0
12,Riya,III,Science,69.0
12,Riya,III,English,74.0
