Adm_No,Name,Gender,Class,Subject,Marks,Percentage
1,Aarav,M,I,Maths,78,78.33
1,Aarav,M,I,Science,82,78.33
1,Aarav,M,I,English,75,78.33
2,Diya,F,II,Maths,91,88.0
2,Diya,F,II,Science,88,88.0
2,Diya,F,II,English,85,88.0
3,Kabir,M,II,Maths,32,45.0
3,Kabir,M,II,Science,55,45.0
3,Kabir,M,II,English,48,45.0
4,Ananya,F,II,Maths,66,66.0
4,Ananya,F,II,Science,70,66.0
4,Ananya,F,II,English,62,66.0
5,Vihaan,M,III,Maths,45,44.67
5,Vihaan,M,III,Science,39,44.67
5,Vihaan,M,III,English,50,44.67
6,Meera,F,I,Maths,95,92.67
6,Meera,F,I,Science,93,92.67
6,Meera,F,I,English,90,92.67
7,Reyansh,M,III,Maths,60,61.0
7,Reyansh,M,III,Science,58,61.0
7,Reyansh,M,III,English,65,61.0
8,Ishita,F,III,Maths,35,39.0
8,Ishita,F,III,Science,42,39.0
8,Ishita,F,III,English,40,39.0
9,Arjun,M,II,Maths,80,76.0
9,Arjun,M,II,Science,76,76.0
9,Arjun,M,II,English,72,76.0
10,Sneha,F,I,Maths,55,57.67
10,Sneha,F,I,Science,60,57.67
10,Sneha,F,I,English,58,57.67
