Adm_No,Name,Class,Gender,City,Term,Subject,Marks
1,Aarav,I,M,Chennai,Term1,Maths,78
1,Aarav,I,M,Chennai,Term2,Maths,82
2,Diya,II,F,Chennai,Term1,Maths,91
2,Diya,II,F,Chennai,Term2,Maths,88
3,Kabir,II,M,Coimbatore,Term1,Maths,32
3,Kabir,II,M,Coimbatore,Term2,Maths,55
4,Ananya,II,F,Chennai,Term1,Maths,66
4,Ananya,II,F,Chennai,Term2,Maths,70
5,Vihaan,III,M,Madurai,Term1,Maths,45
5,Vihaan,III,M,Madurai,Term2,Maths,39
6,Meera,I,F,Chennai,Term1,Maths,95
6,Meera,I,F,Chennai,Term2,Maths,93
7,Reyansh,III,M,Coimbatore,Term1,Maths,60
7,Reyansh,III,M,Coimbatore,Term2,Maths,58
8,Ishita,III,F,Madurai,Term1,Maths,35
8,Ishita,III,F,Madurai,Term2,Maths,42
9,Arjun,II,M,Chennai,Term1,Maths,80
9,Arjun,II,M,Chennai,Term2,Maths,76
